round,grouping,group_id,guess_other,other_guess
1,number,1,0,1
1,number,2,1,0
1,number,3,2,3
1,number,4,2,2
2,letter,A,3,3
2,letter,B,1,2
2,letter,C,0,3
2,letter,D,2,2
3,color,red,0,0
3,color,yellow,0,0
3,color,green,0,0
3,color,blue,0,0
4,shape,circle,0,0
4,shape,square,0,0
4,shape,triangle,0,0
4,shape,star,0,0
5,direction,north,0,0
5,direction,east,0,0
5,direction,south,0,0
5,direction,west,0,0
6,season,winter,0,0
6,season,spring,0,0
6,season,summer,0,0
6,season,fall,0,0
7,element,earth,0,0
7,element,water,0,0
7,element,air,0,0
7,element,fire,0,0
8,phase,solid,0,0
8,phase,liquid,0,0
8,phase,gas,0,0
8,phase,plasma,0,0
